Name,Price,Comment,Shop,Type
全球购魅可（MAC)经典唇膏  子弹头口红3g Chili 秀智色/小辣椒色,￥159.00,14万+条评价,MAC魅可海外自营专区,"
自营
闪购
满399-50 "
圣罗兰（YSL）纯口红52#,￥279.00,7.6万+条评价,YSL圣罗兰美妆京东自营专区,"
自营
闪购
"
迪奥（Dior）魅惑润唇蜜3.5g 001粉色(变色润唇膏 丰唇膏 口红 滋润保湿),￥268.00,15万+条评价,迪奥（Dior）美妆京东自营专区,"
自营
秒杀
满299-30 "
美宝莲（MAYBELLINE）绝色持久唇膏雾感哑光系列R09PM 3.9g（陈伟霆女皇色口红新老包装）,￥106.00,28万+条评价,美宝莲京东自营官方旗舰店,"
自营
闪购
券159-30满199-100 "
卡姿兰（Carslan）轻甜唇爱随心盒1.4g*4(13#暧昧 16#炽烈 18#嫉妒 19#欲望 唇盒 口红 礼物),￥99.00,5.9万+条评价,卡姿兰京东自营官方旗舰店,"
自营
满199-100赠 "
京东超市芭黎元素水晶之吻口红不掉色不沾杯润唇膏唇釉唇彩唇蜜女士防水保湿 胭脂红04,￥59.00,27万+条评价,芭黎元素姬俪雯专卖店,"
京东物流
免邮
满118-58 险"
迪奥（Dior）烈艳蓝金唇膏999 3.5g(口红 保湿滋润 显色持久 正红色),￥420.00,13万+条评价,迪奥（Dior）美妆京东自营专区,"
自营
闪购
满299-30 "
京东超市樱古（YINGGU）克拉之恋轻雾哑光口红唇膏女士不易掉色保湿滋润防水不易沾杯 01#热吻红,￥39.00,6.7万+条评价,海纳化妆品专营店,"
京东物流
秒杀
满199-100 险"
圣罗兰（YSL）莹亮纯魅唇膏12#,￥310.00,5.9万+条评价,YSL圣罗兰美妆京东自营专区,"
自营
闪购
券500-50满499-150 "
全球购魅可（MAC)经典唇膏  子弹头口红3g   Ruby Woo 复古哑光红,￥155.00,14万+条评价,MAC魅可海外自营专区,"
自营
闪购
满399-50 "
